#,Constituency,Assembly Segment,UDF,LDF,NDA,Lead,Runner-up,Margin
99,Alappuzha,Aroor,65656,65008,25250,UDF,LDF,648
100,Alappuzha,Cherthala,66326,83221,22655,LDF,UDF,16895
101,Alappuzha,Alappuzha,65828,65759,21303,UDF,LDF,69
102,Alappuzha,Ambalapuzha,53159,52521,25061,UDF,LDF,638
103,Alappuzha,Haripad,61445,55601,26238,UDF,LDF,5844
104,Alappuzha,Kayamkulam,58073,62370,31660,LDF,UDF,4297
105,Alappuzha,Karunagappally,63303,58523,34111,UDF,LDF,4780
106,Mavelikara,Changanassery,64368,40958,13884,UDF,LDF,23410
107,Mavelikara,Kuttanad,55253,52630,14476,UDF,LDF,2623
108,Mavelikara,Mavelikara,60392,59423,23387,UDF,LDF,969
109,Mavelikara,Chengannur,61242,51403,24854,UDF,LDF,9839
110,Mavelikara,Kunnathur,69500,62327,21136,UDF,LDF,7173
111,Mavelikara,Kottarakkara,62998,60244,19091,UDF,LDF,2754
112,Mavelikara,Pathanapuram,64244,49512,15495,UDF,LDF,14732
113,Pathanamthitta,Kanjirappally,55330,45587,36628,UDF,LDF,9743
114,Pathanamthitta,Poonjar,61530,43601,30990,UDF,LDF,17929
115,Pathanamthitta,Thiruvalla,54250,50511,40186,UDF,LDF,3739
116,Pathanamthitta,Ranni,50755,42931,39560,UDF,LDF,7824
117,Pathanamthitta,Aranmula,59277,52684,50497,UDF,LDF,6593
118,Pathanamthitta,Konni,49667,46946,46506,UDF,LDF,2721
119,Pathanamthitta,Adoor,49280,53216,51260,LDF,NDA,1956
120,Kollam,Chavara,74562,46994,11655,UDF,LDF,27568
121,Kollam,Punalur,73622,54956,16168,UDF,LDF,18666
122,Kollam,Chadayamangalam,70387,56155,15820,UDF,LDF,14232
123,Kollam,Kundara,79217,54908,14696,UDF,LDF,24309
124,Kollam,Kollam,68748,44203,12871,UDF,LDF,24545
125,Kollam,Eravipuram,67582,44162,11488,UDF,LDF,23420
126,Kollam,Chathannur,63146,46114,19621,UDF,LDF,17032
127,Attingal,Varkala,48019,42335,34343,UDF,LDF,5684
128,Attingal,Attingal,50045,48492,42389,UDF,LDF,1553
129,Attingal,Chirayinkeezhu,56314,47750,32829,UDF,LDF,8564
130,Attingal,Nedumangad,54506,55265,36417,LDF,UDF,759
131,Attingal,Vamanapuram,59671,50231,29681,UDF,LDF,9440
132,Attingal,Aruvikkara,58952,50403,30151,UDF,LDF,8549
133,Attingal,Kattakkada,51962,45822,40692,UDF,LDF,6140
134,Thiruvananthapuram,Kazhakkoottam,46964,37688,45479,UDF,NDA,1485
135,Thiruvananthapuram,Vattiyoorkavu,53545,29414,50709,UDF,NDA,2836
136,Thiruvananthapuram,Thiruvananthapuram,57077,27530,42877,UDF,NDA,14200
137,Thiruvananthapuram,Nemom,46472,33921,58513,NDA,UDF,12041
138,Thiruvananthapuram,Parassala,69944,47942,42887,UDF,LDF,22002
139,Thiruvananthapuram,Kovalam,73221,42050,41092,UDF,LDF,31171
140,Thiruvananthapuram,Neyyattinkara,66834,37925,32368,UDF,LDF,28909
